group,tensor_template,stored_dtype,stored_shape,logical_shape,logical_parameters_each,count
decoder,model.layers.{i}.mlp.experts.{i}.down_proj.weight_scale_inv,F32,56x16,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.gate_proj.weight_scale_inv,F32,16x56,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.up_proj.weight_scale_inv,F32,16x56,metadata,0,23040
decoder,model.layers.{i}.mlp.gate.e_score_correction_bias,F32,384,384,384,60
decoder,model.layers.{i}.mlp.shared_experts.down_proj.weight_scale_inv,F32,56x16,metadata,0,60
decoder,model.layers.{i}.mlp.shared_experts.gate_proj.weight_scale_inv,F32,16x56,metadata,0,60
decoder,model.layers.{i}.mlp.shared_experts.up_proj.weight_scale_inv,F32,16x56,metadata,0,60
decoder,model.layers.{i}.self_attn.kv_a_proj_with_mqa.weight_scale_inv,F32,5x56,metadata,0,61
decoder,model.layers.{i}.self_attn.kv_b_proj.weight_scale_inv,F32,128x4,metadata,0,61
decoder,model.layers.{i}.self_attn.o_proj.weight_scale_inv,F32,56x64,metadata,0,61
decoder,model.layers.{i}.self_attn.q_a_proj.weight_scale_inv,F32,12x56,metadata,0,61
decoder,model.layers.{i}.self_attn.q_b_proj.weight_scale_inv,F32,96x12,metadata,0,61
decoder,model.layers.{i}.input_layernorm.weight,BF16,7168,7168,7168,61
decoder,model.layers.{i}.mlp.gate.weight,BF16,384x7168,384x7168,2752512,60
decoder,model.layers.{i}.post_attention_layernorm.weight,BF16,7168,7168,7168,61
decoder,model.layers.{i}.self_attn.kv_a_layernorm.weight,BF16,512,512,512,61
decoder,model.layers.{i}.self_attn.q_a_layernorm.weight,BF16,1536,1536,1536,61
decoder,model.layers.{i}.self_attn.rotary_emb.inv_freq,BF16,128,metadata,0,61
decoder,model.layers.{i}.mlp.experts.{i}.down_proj.weight,F8_E4M3,7168x2048,7168x2048,14680064,23040
decoder,model.layers.{i}.mlp.experts.{i}.gate_proj.weight,F8_E4M3,2048x7168,2048x7168,14680064,23040
decoder,model.layers.{i}.mlp.experts.{i}.up_proj.weight,F8_E4M3,2048x7168,2048x7168,14680064,23040
decoder,model.layers.{i}.mlp.shared_experts.down_proj.weight,F8_E4M3,7168x2048,7168x2048,14680064,60
decoder,model.layers.{i}.mlp.shared_experts.gate_proj.weight,F8_E4M3,2048x7168,2048x7168,14680064,60
decoder,model.layers.{i}.mlp.shared_experts.up_proj.weight,F8_E4M3,2048x7168,2048x7168,14680064,60
decoder,model.layers.{i}.self_attn.kv_a_proj_with_mqa.weight,F8_E4M3,576x7168,576x7168,4128768,61
decoder,model.layers.{i}.self_attn.kv_b_proj.weight,F8_E4M3,16384x512,16384x512,8388608,61
decoder,model.layers.{i}.self_attn.o_proj.weight,F8_E4M3,7168x8192,7168x8192,58720256,61
decoder,model.layers.{i}.self_attn.q_a_proj.weight,F8_E4M3,1536x7168,1536x7168,11010048,61
decoder,model.layers.{i}.self_attn.q_b_proj.weight,F8_E4M3,12288x1536,12288x1536,18874368,61
output_head,lm_head.weight,BF16,163840x7168,163840x7168,1174405120,1
embedding,model.embed_tokens.weight,BF16,163840x7168,163840x7168,1174405120,1
final_norm_and_residual,model.norm.weight,BF16,7168,7168,7168,1
decoder,model.layers.{i}.mlp.down_proj.weight_scale_inv,F32,56x144,metadata,0,1
decoder,model.layers.{i}.mlp.gate_proj.weight_scale_inv,F32,144x56,metadata,0,1
decoder,model.layers.{i}.mlp.up_proj.weight_scale_inv,F32,144x56,metadata,0,1
decoder,model.layers.{i}.mlp.down_proj.weight,F8_E4M3,7168x18432,7168x18432,132120576,1
decoder,model.layers.{i}.mlp.gate_proj.weight,F8_E4M3,18432x7168,18432x7168,132120576,1
decoder,model.layers.{i}.mlp.up_proj.weight,F8_E4M3,18432x7168,18432x7168,132120576,1
