group,tensor_template,stored_dtype,stored_shape,logical_shape,logical_parameters_each,count
decoder,model.layers.{i}.mlp.gate.e_score_correction_bias,F32,384,384,384,60
decoder,model.layers.{i}.mlp.experts.{i}.down_proj.weight_packed,I32,7168x256,7168x2048,14680064,23040
decoder,model.layers.{i}.mlp.experts.{i}.down_proj.weight_shape,I32,2,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.gate_proj.weight_packed,I32,2048x896,2048x7168,14680064,23040
decoder,model.layers.{i}.mlp.experts.{i}.gate_proj.weight_shape,I32,2,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.up_proj.weight_packed,I32,2048x896,2048x7168,14680064,23040
decoder,model.layers.{i}.mlp.experts.{i}.up_proj.weight_shape,I32,2,metadata,0,23040
decoder,model.layers.{i}.input_layernorm.weight,BF16,7168,7168,7168,61
decoder,model.layers.{i}.mlp.experts.{i}.down_proj.weight_scale,BF16,7168x64,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.gate_proj.weight_scale,BF16,2048x224,metadata,0,23040
decoder,model.layers.{i}.mlp.experts.{i}.up_proj.weight_scale,BF16,2048x224,metadata,0,23040
decoder,model.layers.{i}.mlp.gate.weight,BF16,384x7168,384x7168,2752512,60
decoder,model.layers.{i}.mlp.shared_experts.down_proj.weight,BF16,7168x2048,7168x2048,14680064,60
decoder,model.layers.{i}.mlp.shared_experts.gate_proj.weight,BF16,2048x7168,2048x7168,14680064,60
decoder,model.layers.{i}.mlp.shared_experts.up_proj.weight,BF16,2048x7168,2048x7168,14680064,60
decoder,model.layers.{i}.post_attention_layernorm.weight,BF16,7168,7168,7168,61
decoder,model.layers.{i}.self_attn.kv_a_layernorm.weight,BF16,512,512,512,61
decoder,model.layers.{i}.self_attn.kv_a_proj_with_mqa.weight,BF16,576x7168,576x7168,4128768,61
decoder,model.layers.{i}.self_attn.kv_b_proj.weight,BF16,16384x512,16384x512,8388608,61
decoder,model.layers.{i}.self_attn.o_proj.weight,BF16,7168x8192,7168x8192,58720256,61
decoder,model.layers.{i}.self_attn.q_a_layernorm.weight,BF16,1536,1536,1536,61
decoder,model.layers.{i}.self_attn.q_a_proj.weight,BF16,1536x7168,1536x7168,11010048,61
decoder,model.layers.{i}.self_attn.q_b_proj.weight,BF16,12288x1536,12288x1536,18874368,61
decoder,model.layers.{i}.self_attn.rotary_emb.inv_freq,BF16,128,metadata,0,61
output_head,lm_head.weight,BF16,163840x7168,163840x7168,1174405120,1
embedding,model.embed_tokens.weight,BF16,163840x7168,163840x7168,1174405120,1
final_norm_and_residual,model.norm.weight,BF16,7168,7168,7168,1
decoder,model.layers.{i}.mlp.down_proj.weight,BF16,7168x18432,7168x18432,132120576,1
decoder,model.layers.{i}.mlp.gate_proj.weight,BF16,18432x7168,18432x7168,132120576,1
decoder,model.layers.{i}.mlp.up_proj.weight,BF16,18432x7168,18432x7168,132120576,1
