group,tensor_template,stored_dtype,stored_shape,logical_shape,logical_parameters_each,count
decoder,language_model.model.layers.{i}.mlp.gate.e_score_correction_bias,F32,384,384,384,60
decoder,language_model.model.layers.{i}.mlp.experts.{i}.down_proj.weight_packed,I32,7168x256,7168x2048,14680064,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.down_proj.weight_shape,I32,2,metadata,0,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.gate_proj.weight_packed,I32,2048x896,2048x7168,14680064,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.gate_proj.weight_shape,I32,2,metadata,0,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.up_proj.weight_packed,I32,2048x896,2048x7168,14680064,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.up_proj.weight_shape,I32,2,metadata,0,23040
decoder,language_model.model.layers.{i}.input_layernorm.weight,BF16,7168,7168,7168,61
decoder,language_model.model.layers.{i}.mlp.experts.{i}.down_proj.weight_scale,BF16,7168x64,metadata,0,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.gate_proj.weight_scale,BF16,2048x224,metadata,0,23040
decoder,language_model.model.layers.{i}.mlp.experts.{i}.up_proj.weight_scale,BF16,2048x224,metadata,0,23040
decoder,language_model.model.layers.{i}.mlp.gate.weight,BF16,384x7168,384x7168,2752512,60
decoder,language_model.model.layers.{i}.mlp.shared_experts.down_proj.weight,BF16,7168x2048,7168x2048,14680064,60
decoder,language_model.model.layers.{i}.mlp.shared_experts.gate_proj.weight,BF16,2048x7168,2048x7168,14680064,60
decoder,language_model.model.layers.{i}.mlp.shared_experts.up_proj.weight,BF16,2048x7168,2048x7168,14680064,60
decoder,language_model.model.layers.{i}.post_attention_layernorm.weight,BF16,7168,7168,7168,61
decoder,language_model.model.layers.{i}.self_attn.kv_a_layernorm.weight,BF16,512,512,512,61
decoder,language_model.model.layers.{i}.self_attn.kv_a_proj_with_mqa.weight,BF16,576x7168,576x7168,4128768,61
decoder,language_model.model.layers.{i}.self_attn.kv_b_proj.weight,BF16,16384x512,16384x512,8388608,61
decoder,language_model.model.layers.{i}.self_attn.o_proj.weight,BF16,7168x8192,7168x8192,58720256,61
decoder,language_model.model.layers.{i}.self_attn.q_a_layernorm.weight,BF16,1536,1536,1536,61
decoder,language_model.model.layers.{i}.self_attn.q_a_proj.weight,BF16,1536x7168,1536x7168,11010048,61
decoder,language_model.model.layers.{i}.self_attn.q_b_proj.weight,BF16,12288x1536,12288x1536,18874368,61
vision,vision_tower.encoder.blocks.{i}.mlp.fc0.bias,BF16,4304,4304,4304,27
vision,vision_tower.encoder.blocks.{i}.mlp.fc0.weight,BF16,4304x1152,4304x1152,4958208,27
vision,vision_tower.encoder.blocks.{i}.mlp.fc1.bias,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.mlp.fc1.weight,BF16,1152x4304,1152x4304,4958208,27
vision,vision_tower.encoder.blocks.{i}.norm0.bias,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.norm0.weight,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.norm1.bias,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.norm1.weight,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.wo.bias,BF16,1152,1152,1152,27
vision,vision_tower.encoder.blocks.{i}.wo.weight,BF16,1152x1152,1152x1152,1327104,27
vision,vision_tower.encoder.blocks.{i}.wqkv.bias,BF16,3456,3456,3456,27
vision,vision_tower.encoder.blocks.{i}.wqkv.weight,BF16,3456x1152,3456x1152,3981312,27
vision_other,vision_tower.encoder.final_layernorm.bias,BF16,1152,1152,1152,1
vision_other,vision_tower.encoder.final_layernorm.weight,BF16,1152,1152,1152,1
vision_other,vision_tower.patch_embed.pos_emb.weight,BF16,64x64x1152,64x64x1152,4718592,1
vision_other,vision_tower.patch_embed.proj.bias,BF16,1152,1152,1152,1
vision_other,vision_tower.patch_embed.proj.weight,BF16,1152x3x14x14,1152x3x14x14,677376,1
decoder,language_model.model.layers.{i}.mlp.down_proj.weight,BF16,7168x18432,7168x18432,132120576,1
decoder,language_model.model.layers.{i}.mlp.gate_proj.weight,BF16,18432x7168,18432x7168,132120576,1
decoder,language_model.model.layers.{i}.mlp.up_proj.weight,BF16,18432x7168,18432x7168,132120576,1
projector,mm_projector.pre_norm.bias,BF16,1152,1152,1152,1
projector,mm_projector.pre_norm.weight,BF16,1152,1152,1152,1
projector,mm_projector.proj.0.bias,BF16,4608,4608,4608,1
projector,mm_projector.proj.0.weight,BF16,4608x4608,4608x4608,21233664,1
projector,mm_projector.proj.2.bias,BF16,7168,7168,7168,1
projector,mm_projector.proj.2.weight,BF16,7168x4608,7168x4608,33030144,1
output_head,language_model.lm_head.weight,BF16,163840x7168,163840x7168,1174405120,1
embedding,language_model.model.embed_tokens.weight,BF16,163840x7168,163840x7168,1174405120,1
final_norm_and_residual,language_model.model.norm.weight,BF16,7168,7168,7168,1
