group,tensor_template,stored_dtype,stored_shape,logical_shape,logical_parameters_each,count
decoder,language_model.model.layers.{i}.block_sparse_moe.gate.e_score_correction_bias,F32,896,896,896,92
decoder,language_model.model.layers.{i}.block_sparse_moe.gate.weight,BF16,896x7168,896x7168,6422528,92
decoder,language_model.model.layers.{i}.block_sparse_moe.routed_expert_down_proj.weight,BF16,3584x7168,3584x7168,25690112,92
decoder,language_model.model.layers.{i}.block_sparse_moe.routed_expert_norm.weight,BF16,3584,3584,3584,92
decoder,language_model.model.layers.{i}.block_sparse_moe.routed_expert_up_proj.weight,BF16,7168x3584,7168x3584,25690112,92
decoder,language_model.model.layers.{i}.block_sparse_moe.shared_experts.down_proj.weight,BF16,7168x6144,7168x6144,44040192,92
decoder,language_model.model.layers.{i}.block_sparse_moe.shared_experts.gate_proj.weight,BF16,6144x7168,6144x7168,44040192,92
decoder,language_model.model.layers.{i}.block_sparse_moe.shared_experts.up_proj.weight,BF16,6144x7168,6144x7168,44040192,92
decoder,language_model.model.layers.{i}.input_layernorm.weight,BF16,7168,7168,7168,93
decoder,language_model.model.layers.{i}.mlp_res_norm.weight,BF16,7168,7168,7168,93
decoder,language_model.model.layers.{i}.mlp_res_proj.weight,BF16,1x7168,1x7168,7168,93
decoder,language_model.model.layers.{i}.post_attention_layernorm.weight,BF16,7168,7168,7168,93
decoder,language_model.model.layers.{i}.self_attention_res_norm.weight,BF16,7168,7168,7168,93
decoder,language_model.model.layers.{i}.self_attention_res_proj.weight,BF16,1x7168,1x7168,7168,93
decoder,language_model.model.layers.{i}.self_attn.g_proj.weight,BF16,12288x7168,12288x7168,88080384,93
decoder,language_model.model.layers.{i}.self_attn.kv_a_layernorm.weight,BF16,512,512,512,24
decoder,language_model.model.layers.{i}.self_attn.kv_a_proj_with_mqa.weight,BF16,576x7168,576x7168,4128768,24
decoder,language_model.model.layers.{i}.self_attn.kv_b_proj.weight,BF16,24576x512,24576x512,12582912,24
decoder,language_model.model.layers.{i}.self_attn.o_proj.weight,BF16,7168x12288,7168x12288,88080384,93
decoder,language_model.model.layers.{i}.self_attn.q_a_layernorm.weight,BF16,1536,1536,1536,24
decoder,language_model.model.layers.{i}.self_attn.q_a_proj.weight,BF16,1536x7168,1536x7168,11010048,24
decoder,language_model.model.layers.{i}.self_attn.q_b_proj.weight,BF16,18432x1536,18432x1536,28311552,24
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w1.weight_packed,U8,3072x1792,3072x3584,11010048,82432
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w1.weight_scale,U8,3072x112,metadata,0,82432
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w2.weight_packed,U8,3584x1536,3584x3072,11010048,82432
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w2.weight_scale,U8,3584x96,metadata,0,82432
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w3.weight_packed,U8,3072x1792,3072x3584,11010048,82432
decoder,language_model.model.layers.{i}.block_sparse_moe.experts.{i}.w3.weight_scale,U8,3072x112,metadata,0,82432
decoder,language_model.model.layers.{i}.self_attn.A_log,F32,128,128,128,69
decoder,language_model.model.layers.{i}.self_attn.dt_bias,F32,12288,12288,12288,69
decoder,language_model.model.layers.{i}.self_attn.k_conv1d.weight,F32,12288x1x4,12288x1x4,49152,69
decoder,language_model.model.layers.{i}.self_attn.o_norm.weight,F32,128,128,128,69
decoder,language_model.model.layers.{i}.self_attn.q_conv1d.weight,F32,12288x1x4,12288x1x4,49152,69
decoder,language_model.model.layers.{i}.self_attn.v_conv1d.weight,F32,12288x1x4,12288x1x4,49152,69
decoder,language_model.model.layers.{i}.self_attn.b_proj.weight,BF16,96x7168,96x7168,688128,69
decoder,language_model.model.layers.{i}.self_attn.f_a_proj.weight,BF16,128x7168,128x7168,917504,69
decoder,language_model.model.layers.{i}.self_attn.f_b_proj.weight,BF16,12288x128,12288x128,1572864,69
decoder,language_model.model.layers.{i}.self_attn.k_proj.weight,BF16,12288x7168,12288x7168,88080384,69
decoder,language_model.model.layers.{i}.self_attn.q_proj.weight,BF16,12288x7168,12288x7168,88080384,69
decoder,language_model.model.layers.{i}.self_attn.v_proj.weight,BF16,12288x7168,12288x7168,88080384,69
output_head,language_model.lm_head.weight,BF16,163840x7168,163840x7168,1174405120,1
embedding,language_model.model.embed_tokens.weight,BF16,163840x7168,163840x7168,1174405120,1
