model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2-Instruct,decoder,1,MLA + Dense,497500160,497638224,21,,101124096,,497483776
Kimi-K2-Instruct,decoder,2,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,3,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,4,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,5,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,6,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,7,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,8,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,9,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,10,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,11,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,12,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,13,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,14,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,15,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,16,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
