"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","3584","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","28","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","全局head数"
"n","attention 单rank head num","28","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","128","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","18944 / 不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","不适用 / 不适用 / El=E/EP","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","Kimi-Audio-7B-Instruct","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","34","","",""
"算子行数","401","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/moonshotai/Kimi-Audio-7B-Instruct/resolve/9a82a84c37ad9eb1307fb6ed8d7b397862ef9e6b/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
