"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","2304","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","32","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","全局head数"
"n","attention 单rank head num","32","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","128","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","4096","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","128","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","64","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","非MLA时不适用"
"V","v_head_dim","128","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","非MLA时不适用"
"C","kv_lora_rank","512","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","9216 / 1024","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","256 / 8 / El=E/EP","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","Kimi-Linear-48B-A3B-Base","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","27","","",""
"算子行数","383","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""KimiLinearForCausalLM""]","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"auto_map.AutoConfig","configuration_kimi.KimiLinearConfig","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"auto_map.AutoModel","modeling_kimi.KimiLinearModel","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"auto_map.AutoModelForCausalLM","modeling_kimi.KimiLinearForCausalLM","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"bos_token_id","163584","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"dtype","bfloat16","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"eos_token_id","163586","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"first_k_dense_replace","1","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"head_dim","72","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"hidden_act","silu","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"hidden_size","2304","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"initializer_range","0.02","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"intermediate_size","9216","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"kv_lora_rank","512","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"linear_attn_config.full_attn_layers","[4,8,12,16,20,24,27]","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"linear_attn_config.head_dim","128","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"linear_attn_config.kda_layers","[1,2,3,5,6,7,9,10,11,13,14,15,17,18,19,21,22,23,25,26]","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"linear_attn_config.num_heads","32","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"linear_attn_config.short_conv_kernel_size","4","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"mla_use_nope","true","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"model_max_length","1048576","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"model_type","kimi_linear","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"moe_intermediate_size","1024","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"moe_layer_freq","1","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"moe_renormalize","true","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"moe_router_activation_func","sigmoid","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_attention_heads","32","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_expert_group","1","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_experts","256","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_experts_per_token","8","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_hidden_layers","27","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_key_value_heads","32","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_nextn_predict_layers","0","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"num_shared_experts","1","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"pad_token_id","163839","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"q_lora_rank","null","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"qk_nope_head_dim","128","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"qk_rope_head_dim","64","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"rms_norm_eps","0.00001","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"rope_scaling","null","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"rope_theta","10000","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"routed_scaling_factor","2.446","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"topk_group","1","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"transformers_version","4.57.0","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"use_cache","true","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"use_grouped_topk","true","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"v_head_dim","128","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
"vocab_size","163840","","https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/resolve/3b171c17bfc4ee348599b6781a2ca8715c21c8dc/config.json",""
