"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","5120","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","40","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","全局head数"
"n","attention 单rank head num","40","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","128","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","13824 / 不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","不适用 / 不适用 / El=E/EP","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","ConsJudge-qwen","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
