"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","6144","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","48","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","全局head数"
"n","attention 单rank head num","48","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","128","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","16384 / 不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","不适用 / 2 / El=E/EP","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","Eurux-8x22b-kto","","",""
"TP","Tensor parallel场景假设","1","",""
"EP","Expert parallel场景假设","1","",""
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","56","","",""
"算子行数","841","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""MixtralForCausalLM""]","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"attention_dropout","0","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"bos_token_id","1","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"eos_token_id","2","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"hidden_act","silu","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"hidden_size","6144","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"initializer_range","0.02","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"intermediate_size","16384","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"max_position_embeddings","65536","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"model_type","mixtral","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"num_attention_heads","48","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"num_experts_per_tok","2","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"num_hidden_layers","56","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"num_key_value_heads","8","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"num_local_experts","8","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"output_router_logits","false","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"rms_norm_eps","0.00001","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"rope_theta","1000000","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"router_aux_loss_coef","0.001","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"router_jitter_noise","0","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"sliding_window","null","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"transformers_version","4.40.0.dev0","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
"vocab_size","32000","","https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json",""
