"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","2304","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","编码/检索视图不套用verify阶段"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","编码tokens=B*L_text；不是B*S_verify"
"N","attention head 数","36","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","全局head数"
"n","attention 单rank head num","36","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","64","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","5760 / 不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","不适用 / 不适用 / El=E/EP","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","MiniCPM-Reranker","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_text","编码输入长度场景假设","1","",""
"阶段","单次编码/检索；Q/K/V同L_text；历史缓存路径不在本逻辑视图内","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/modeling_minicpm.py","固定源码确认非因果分支；use_cache可运行时覆盖，不将配置值当作永无缓存的保证"
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","40","","",""
"算子行数","521","","",""
"S语义","模板S保留定义，本任务阶段不适用；使用L_text","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""MiniCPMForSequenceClassification""]","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"auto_map.AutoConfig","configuration_minicpm.MiniCPMConfig","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"auto_map.AutoModel","modeling_minicpm.MiniCPMModel","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"auto_map.AutoModelForCausalLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"auto_map.AutoModelForSeq2SeqLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"auto_map.AutoModelForSequenceClassification","modeling_minicpm.MiniCPMForSequenceClassification","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"bos_token_id","1","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"eos_token_id","2","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"hidden_act","silu","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"hidden_size","2304","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"initializer_range","0.1","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"intermediate_size","5760","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"is_causal","false","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"max_position_embeddings","2048","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"num_attention_heads","36","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"num_hidden_layers","40","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"num_key_value_heads","36","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"rms_norm_eps","0.00001","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"rope_scaling","null","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"transformers_version","4.36.0","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"vocab_size","122753","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"scale_emb","12","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"dim_model_base","256","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"scale_depth","1.4","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
"num_labels","1","","https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json",""
