"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","1024","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","8","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","全局head数"
"n","attention 单rank head num","8","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","256","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json","非MLA时不适用"
