"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"H","config.hidden_size","1024","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","配置主文本组件；多模态组件详见下方配置"
"B","request batch","1","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","默认1，可改1..16；不代表设备上限"
"S","每 request 的 verify 长度","1","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","默认1；verify长度1..8；不是上下文长度"
"T","当前 rank 的 token 数（T=B*S）","1","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","T=B*S仅整批在同一rank且未sequence分片"
"N","attention head 数","16","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","全局head数"
"n","attention 单rank head num","16","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","仅均匀TP且可整除；不保证实际分派"
"D","head_dim","64","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","显式head_dim优先；MLA需Qn/Qr/V分开"
"P","KDA 每 rank 投影宽度 n*D","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","只对KDA且head均匀分片成立"
"Qn","MLA qk_nope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","非MLA时不适用"
"Qr","qk_rope_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","非MLA时不适用"
"V","v_head_dim","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","非MLA时不适用"
"C","kv_lora_rank","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","非MLA时不适用"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","4096 / 不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","不适用 / 不适用 / El=E/EP","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","非latent-MoE时不适用"
