model,component,layer_1based,config_revision,config_source,config_pointer,attention_type,hidden_size,heads,kv_heads,head_dim,intermediate_size,head_dim_evidence,layer_scope
MiniCPM-2B-sft-bf16,root,1,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,2,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,3,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,4,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,5,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,6,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,7,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,8,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,9,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,10,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,11,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,12,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,13,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,14,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,15,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,16,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,17,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,18,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,19,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,20,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,21,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,22,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,23,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,24,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,25,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
MiniCPM-2B-sft-bf16,root,26,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,/,full_attention,2304,36,36,64,5760,hidden_size/heads 推导,配置层；drop/truncation/运行路径另行核验
