model,expanded_config_layers,coverage,weight_header_audit,runtime_backend_validation,source
MiniCPM-2B-sft-bf16,40,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json
MiniCPM-MoE-8x2B,40,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-MoE-8x2B/resolve/7495286593bc56a524a42e26eeaee5e185cb7f9c/config.json
MiniCPM3-4B,62,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM3-4B/resolve/d6b14ddaefdb11c624dd75c3c779549bc90b08cb/config.json
MiniCPM4-8B,32,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM4-8B/resolve/bb2ae14cf59d4ca769c4e42ece54cc3b82a58ef7/config.json
MiniCPM4.1-8B,32,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM4.1-8B/resolve/3a8dfed9c79a45e07dbff95bcd49d792343fa1a3/config.json
MiniCPM-SALA,32,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-SALA/resolve/9180fe1db74f71fb81bc7105efe88f6b19c959b0/config.json
MiniCPM5-1B,24,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM5-1B/resolve/87179e5c1f455ef22e6223592d2d61351b525bfc/config.json
MiniCPM5-2B,42,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM5-2B/resolve/12a3808a956f869c767195e9266b59c4d21d92e2/config.json
MiniCPM-V-4.6,51,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-V-4.6/resolve/36f34a661a4bd35d0dc2294cb044d2584646c7d3/config.json
MiniCPM-o-4_5,107,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-o-4_5/resolve/503e754207c94da6bb26850b4469f367c9ea3582/config.json
VoxCPM-0.5B,38,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/VoxCPM-0.5B/resolve/b2e656f7524303fdaf84591c75bbb87203d7c98d/config.json
VoxCPM1.5,48,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/VoxCPM1.5/resolve/8cdc403854cda0e3af12252d27da038fda5982ac/config.json
VoxCPM2,60,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/VoxCPM2/resolve/32279effe8c19989596f05d353d1447f51d9e915/config.json
MiniCPM-RobotManip,51,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-RobotManip/resolve/29cb257541e9f96f493abe21174f8892e5dffe3f/config.json
MiniCPM-RobotTrack,24,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/MiniCPM-RobotTrack/resolve/80d32d0b091c3b340a1e4a6c78d441e8af19590e/config.json
AgentCPM-Explore,36,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/AgentCPM-Explore/resolve/f528bbb55317bd291387ba3347551dd3414e698e/config.json
AgentCPM-Report,32,配置层与逻辑计算形状；专用组件部分未知,未执行,未执行,https://huggingface.co/openbmb/AgentCPM-Report/resolve/c6232d64a47ccfa0c4aed240d325cbc0fb9cbc62/config.json
